,value,nifty_bm,drawdown,cash,n_open
2020-01-01,1004802.0703005955,1002960.2269836831,,221056.455466131,6
2020-01-02,1004203.9653248134,1006446.6462738799,,220924.87237145894,9
2020-01-03,1010314.9005098789,1000481.5785987868,,222269.27811217334,6
2020-01-06,1023980.1710939034,1010330.7217728592,,225275.63764065874,6
2020-01-07,1022536.0480850907,1009075.7721120027,,224957.93057871997,3
2020-01-08,1021094.1044242894,1002254.8446981059,,224640.70297334366,3
2020-01-09,1035392.8006169954,1007784.1278373722,,227786.41613573898,7
2020-01-10,1042747.3977861746,999605.5103425827,,229404.4275129584,4
2020-01-13,1039191.0741256727,1000292.9600387698,,228622.036307648,4
2020-01-14,1044586.3051616757,1000626.4272346009,,229808.98713556866,7
2020-01-15,1041077.4871270765,1011369.1604377249,,229037.04716795683,7
2020-01-16,1037559.9955966289,1016354.839440975,,228263.19903125835,8
2020-01-17,1040295.70856815,1016540.0639024875,,228865.055884993,9
2020-01-20,1023980.8736427709,1024864.286686767,,225275.7922014096,6
2020-01-21,1009561.3781621449,1038830.0833338422,,222103.5031956719,7
2020-01-22,1005321.7816914557,1044771.3581756462,,221170.79197212026,5
2020-01-23,997249.988240036,1045312.9152926772,,219394.99741280792,4
2020-01-24,1000492.1499974634,1032724.7928310675,,220108.27299944195,7
2020-01-27,993350.4322881368,1022708.8290171664,,218537.0951033901,5
2020-01-28,982001.8193547938,1020172.8847255658,,216040.40025805464,5
2020-01-29,994805.1733497564,1014694.1830324039,,218857.13813694642,5
2020-01-30,993473.0311804772,1013318.027000711,,218564.066859705,8
2020-01-31,994619.4888652746,1014288.9622782527,,218816.2875503604,8
2020-02-03,983151.168510583,1019818.9480267661,,216293.25707232827,5
2020-02-04,979172.1068385809,1019564.2600830022,,215417.86350448782,9
2020-02-05,980663.2312603762,1024704.6641131467,,215745.91087728276,8
2020-02-06,971637.7507477505,1025762.6787910075,,213760.30516450512,6
2020-02-07,975304.1608519834,1006943.0802849302,,214566.91538743634,5
2020-02-10,970890.4912509823,998380.352267361,,213595.9080752161,6
2020-02-11,969046.384887639,997433.0572612458,,213190.20467528058,6
2020-02-12,964652.2380434506,986389.3786510992,,212223.49236955913,5
2020-02-13,980399.5728589236,992425.4137986837,,215687.9060289632,4
2020-02-14,980855.7268875549,1007274.2147404872,,215788.25991526208,9
2020-02-17,972606.197721657,1019359.730088357,,213973.36349876455,5
2020-02-18,979970.4136913714,1017720.8980356373,,215593.49101210173,5
2020-02-19,970369.4759492385,1032561.2006686536,,213481.28470883248,8
2020-02-20,972655.026531741,1034453.2047299695,,213984.105836983,5
2020-02-21,957017.4609782756,1031575.0282765768,,210543.84141522064,4
2020-02-24,946768.204563743,1025996.9665235749,,208289.00500402346,8
2020-02-25,948901.5767724621,1023479.7219318943,,208758.34688994166,3
2020-02-26,955408.162555277,1020135.3179432465,,210189.79576216094,3
2020-02-27,957353.9758541008,1022215.3270451417,,210617.87468790216,6
2020-02-28,956968.152245063,1024203.9987357619,,210532.99349391385,9
2020-03-02,955073.9472721461,1024663.8020024337,,210116.26839987215,6
2020-03-03,943625.0585770785,1029347.4506986713,,207597.51288695727,4
2020-03-04,938398.6253278941,1041422.869350499,,206447.6975721367,7
2020-03-05,935268.6628203323,1051254.697182808,,205759.1058204731,9
2020-03-06,944215.0116178723,1036866.6674960083,,207727.3025559319,3
2020-03-09,947520.4774764652,1012145.4323825192,,208454.50504482235,6
2020-03-10,933870.647829936,1021554.3759542962,,205451.54252258592,3
2020-03-11,920175.1674495636,986243.9938214351,,202438.536838904,4
2020-03-12,901133.7992417488,962854.9499222311,,198249.43583318472,4
2020-03-13,880251.0714605863,931373.3734713669,,193655.235721329,7
2020-03-16,869493.7418191761,895330.3283806109,,191288.62320021875,7
2020-03-17,861966.9657140309,880614.5859155271,,189632.7324570868,8
2020-03-18,853774.7291085798,867961.8926692578,,187830.44040388757,9
2020-03-19,832811.7002623114,844477.5789691516,,183218.5740577085,4
2020-03-20,816115.2371257062,805467.0201571637,,179545.35216765536,6
2020-03-23,804196.4773328798,783905.2139260645,,176923.22501323355,3
2020-03-24,796855.879312785,769906.3428349257,,175308.2934488127,5
2020-03-25,779729.0710216973,742474.8416822822,,171540.3956247734,7
2020-03-26,764915.6991425914,727745.565809163,,168281.45381137013,5
2020-03-27,744397.7172474419,711934.9705879372,,163767.49779443722,6
2020-03-30,723861.4544302551,700489.3837515877,,159249.5199746561,7
2020-03-31,716251.1149443435,686168.5882467311,,157575.24528775556,5
2020-04-01,712030.992199079,665018.021368768,,156646.8182837974,9
2020-04-02,699191.5880892747,658226.4777860302,,153822.14937964044,6
2020-04-03,692975.7955896637,643030.6409518622,,152454.675029726,3
2020-04-06,683034.2998339476,628987.2419924723,,150267.54596346847,9
2020-04-07,667390.4115117263,609837.0677339096,,146825.8905325798,6
2020-04-08,669827.6296263728,607525.0647940291,,147362.07851780203,8
2020-04-09,678972.9944461101,602673.596972636,,149374.05877814422,7
2020-04-10,679160.037021933,601936.5346552096,,149415.20814482527,4
2020-04-13,688586.4191106803,611977.5767730945,,151489.01220434968,3
