ticker,signal,signal_label,confidence,prob_buy,prob_hold,prob_sell,expected_5d_return,entry_price,signal_date,actionable
NESTLEIND,2,Buy,0.88,0.88,0.084,0.036,0.0209,24567.8,2024-12-20,True
KOTAKBANK,2,Buy,0.84,0.84,0.112,0.048,0.0267,1923.15,2024-12-20,True
TITAN,2,Buy,0.83,0.83,0.119,0.051,0.021,3456.7,2024-12-20,True
TCS,2,Buy,0.81,0.81,0.133,0.057,0.0275,4123.8,2024-12-20,True
SBIN,2,Buy,0.8,0.8,0.14,0.06,0.02,812.35,2024-12-20,True
MARUTI,2,Buy,0.79,0.79,0.147,0.063,0.0263,12456.8,2024-12-20,True
ICICIBANK,2,Buy,0.77,0.77,0.161,0.069,0.0196,1245.3,2024-12-20,True
AXISBANK,2,Buy,0.76,0.76,0.168,0.072,0.0182,1187.45,2024-12-20,True
POWERGRID,2,Buy,0.75,0.75,0.175,0.075,0.0209,312.8,2024-12-20,True
TATAMOTORS,0,Sell,0.73,0.081,0.189,0.73,-0.0161,1023.4,2024-12-20,True
RELIANCE,2,Buy,0.73,0.73,0.189,0.081,0.0217,2847.5,2024-12-20,True
SUNPHARMA,2,Buy,0.72,0.72,0.196,0.084,0.0201,1678.3,2024-12-20,True
DRREDDY,2,Buy,0.71,0.71,0.203,0.087,0.0239,6789.2,2024-12-20,True
HINDUNILVR,0,Sell,0.71,0.087,0.203,0.71,-0.0224,2567.4,2024-12-20,True
TECHM,0,Sell,0.7,0.09,0.21,0.7,-0.0179,1567.3,2024-12-20,True
LT,0,Sell,0.69,0.093,0.217,0.69,-0.0169,3876.2,2024-12-20,True
INFY,2,Buy,0.68,0.68,0.224,0.096,0.024,1834.6,2024-12-20,True
ULTRACEMCO,0,Sell,0.66,0.102,0.238,0.66,-0.0222,10234.5,2024-12-20,True
HCLTECH,2,Buy,0.65,0.65,0.245,0.105,0.0217,1876.4,2024-12-20,True
CIPLA,1,Hold,0.6,0.12,0.76,0.12,-0.0025,1456.8,2024-12-20,True
ASIANPAINT,1,Hold,0.58,0.126,0.748,0.126,0.0022,2987.6,2024-12-20,False
M&M,1,Hold,0.57,0.129,0.742,0.129,0.0021,2234.75,2024-12-20,False
ONGC,1,Hold,0.56,0.132,0.736,0.132,-0.0016,287.65,2024-12-20,False
HDFCBANK,1,Hold,0.55,0.135,0.73,0.135,0.0043,1678.25,2024-12-20,False
BAJFINANCE,1,Hold,0.54,0.138,0.724,0.138,0.0067,7234.6,2024-12-20,False
WIPRO,1,Hold,0.53,0.141,0.718,0.141,-0.0012,567.45,2024-12-20,False
JSWSTEEL,1,Hold,0.53,0.141,0.718,0.141,0.0016,987.65,2024-12-20,False
BHARTIARTL,1,Hold,0.52,0.144,0.712,0.144,-0.0024,1456.75,2024-12-20,False
ITC,1,Hold,0.51,0.147,0.706,0.147,0.003,478.9,2024-12-20,False
NTPC,1,Hold,0.5,0.15,0.7,0.15,0.0013,378.45,2024-12-20,False
